instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,37.77441620826721,0
2,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_global_k25088_eps_0.0001.vnnlib,1200,sat True,,,,35.60098624229431,0
3,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_global_k12544_eps_0.0001.vnnlib,1200,sat True,,,,37.44614839553833,0
4,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_global_k6272_eps_0.0001.vnnlib,1200,sat True,,,,36.396979093551636,0
5,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.7621145248413086,37.57500696182251,0
6,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.8342063426971436,39.954532861709595,0
7,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_mask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,39.28140044212341,0
8,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_mask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,37.599040508270264,0
9,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_mask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,39.10036659240723,0
10,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_mask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,35.44639301300049,0
11,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.8671252727508545,38.837055683135986,0
12,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_mask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.7700726985931396,37.341628551483154,0
13,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_nonmask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,35.03124165534973,0
14,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_nonmask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,35.607102155685425,0
15,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_nonmask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,35.81014561653137,0
16,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_nonmask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,35.65643644332886,0
17,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.790827989578247,37.868579149246216,0
18,onnx/vgg16-7.onnx,vnnlib/n02097658_silky_terrier_fix_nonmask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.7326140403747559,36.49420142173767,0
19,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_global_k50176_eps_0.0001.vnnlib,1200,timeout False,-7.585920810699463,3,2450.8237738609314,2494.4306783676147,0
20,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_global_k25088_eps_0.0001.vnnlib,1200,unsat False,0.2642142176628113,0,685.513676404953,728.7427389621735,0
21,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_global_k12544_eps_0.0001.vnnlib,1200,unsat False,0.3013056814670563,0,644.5593473911285,687.7728319168091,0
22,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_global_k6272_eps_0.0001.vnnlib,1200,unsat False,0.30900058150291443,0,610.5814018249512,654.4070663452148,0
23,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_global_k3136_eps_0.0001.vnnlib,1200,unsat False,0.31181830167770386,0,561.4303481578827,596.4398167133331,0
24,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_global_k1568_eps_0.0001.vnnlib,1200,unsat False,0.3130078613758087,0,537.8580214977264,572.9301908016205,0
25,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_mask_seg0_k50176_eps_0.0001.vnnlib,1200,unsat False,0.27798521518707275,0,678.1364893913269,721.6350417137146,0
26,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_mask_seg0_k25088_eps_0.0001.vnnlib,1200,unsat False,0.2779853940010071,0,678.413024187088,722.6110863685608,0
27,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_mask_seg0_k12544_eps_0.0001.vnnlib,1200,unsat False,0.29943156242370605,0,646.9418032169342,690.5227806568146,0
28,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_mask_seg0_k6272_eps_0.0001.vnnlib,1200,unsat False,0.3084161877632141,0,605.4842550754547,649.4947209358215,0
29,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.31158801913261414,0,567.3994779586792,604.2343511581421,0
30,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_mask_seg0_k1568_eps_0.0001.vnnlib,1200,unsat False,0.31285420060157776,0,543.4669229984283,579.0978789329529,0
31,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_nonmask_seg0_k50176_eps_0.0001.vnnlib,1200,unsat False,0.23227274417877197,0,703.82315325737,745.9302551746368,0
32,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_nonmask_seg0_k25088_eps_0.0001.vnnlib,1200,unsat False,0.2684308886528015,0,689.0149278640747,733.108433008194,0
33,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_nonmask_seg0_k12544_eps_0.0001.vnnlib,1200,unsat False,0.30215492844581604,0,648.0396611690521,691.0067167282104,0
34,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_nonmask_seg0_k6272_eps_0.0001.vnnlib,1200,unsat False,0.3093363046646118,0,611.2935721874237,655.8896884918213,0
35,onnx/vgg16-7.onnx,vnnlib/n02098105_soft-coated_wheaten_terrier_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.3119550347328186,0,562.421648979187,597.2163109779358,0
